h,latitude_deg,season,w,r_g_per_kg,T,P,rho,a
0,30,summer,0.75,11.100000000000001,297.15,101400.0,1.1809457599140076,345.567531070267
0,30,summer,1.0,14.8,297.15,101400.0,1.178335587052097,345.567531070267
1000,30,summer,0.0,0.0,292.657,90323.89,1.0751811128675783,342.94503604717767
1000,30,summer,0.25,2.125,292.657,90323.89,1.0738109944938883,342.94503604717767
1000,30,summer,0.5,4.25,292.657,90323.89,1.072440876120198,342.94503604717767
1000,30,summer,0.75,6.375,292.657,90323.89,1.071070757746508,342.94503604717767
1000,30,summer,1.0,8.5,292.657,90323.89,1.0697006393728175,342.94503604717767
2000,30,summer,0.0,0.0,288.165,80316.78,0.9709636413166297,340.3029221781676
2000,30,summer,0.25,1.455,288.165,80316.78,0.9701136755723146,340.3029221781676
2000,30,summer,0.5,2.91,288.165,80316.78,0.9692637098279996,340.3029221781676
2000,30,summer,0.75,4.365,288.165,80316.78,0.9684137440836845,340.3029221781676
2000,30,summer,1.0,5.82,288.165,80316.78,0.9675637783393695,340.3029221781676
3000,30,summer,0.0,0.0,282.183,71267.16,0.8798254415142018,336.75223440773186
3000,30,summer,0.25,1.0525,282.183,71267.16,0.8792666183686905,336.75223440773186
3000,30,summer,0.5,2.105,282.183,71267.16,0.8787077952231792,336.75223440773186
3000,30,summer,0.75,3.1574999999999998,282.183,71267.16,0.8781489720776678,336.75223440773186
3000,30,summer,1.0,4.21,282.183,71267.16,0.8775901489321565,336.75223440773186
4000,30,summer,0.0,0.0,276.198,63077.72,0.7955974225214841,333.1618980189661
4000,30,summer,0.25,0.7675,276.198,63077.72,0.7952279255502434,333.1618980189661
4000,30,summer,0.5,1.535,276.198,63077.72,0.7948584285790028,333.1618980189661
4000,30,summer,0.75,2.3024999999999998,276.198,63077.72,0.794488931607762,333.1618980189661
4000,30,summer,1.0,3.07,276.198,63077.72,0.7941194346365215,333.1618980189661
5000,30,summer,0.0,0.0,270.215,55682.45,0.717871632568113,329.53366588711384
5000,30,summer,0.25,0.565,270.215,55682.45,0.7176267508733455,329.53366588711384
5000,30,summer,0.5,1.13,270.215,55682.45,0.7173818691785777,329.53366588711384
5000,30,summer,0.75,1.6949999999999998,270.215,55682.45,0.7171369874838102,329.53366588711384
5000,30,summer,1.0,2.26,270.215,55682.45,0.7168921057890425,329.53366588711384
6000,30,summer,0.0,0.0,264.233,49019.130000000005,0.6462736563258256,325.86565558309456
6000,30,summer,0.25,0.4125,264.233,49019.130000000005,0.6461116895208667,325.86565558309456
6000,30,summer,0.5,0.825,264.233,49019.130000000005,0.6459497227159078,325.86565558309456
6000,30,summer,0.75,1.2374999999999998,264.233,49019.130000000005,0.645787755910949,325.86565558309456
6000,30,summer,1.0,1.65,264.233,49019.130000000005,0.6456257891059902,325.86565558309456
7000,30,summer,0.0,0.0,258.254,43029.21,0.5804358465557169,322.157755838347
7000,30,summer,0.25,0.305,258.254,43029.21,0.5803287681373597,322.157755838347
7000,30,summer,0.5,0.61,258.254,43029.21,0.5802216897190026,322.157755838347
7000,30,summer,0.75,0.915,258.254,43029.21,0.5801146113006452,322.157755838347
7000,30,summer,1.0,1.22,258.254,43029.21,0.580007532882288,322.157755838347
8000,30,summer,0.0,0.0,252.276,37657.69,0.5200147346560867,318.4073109700844
8000,30,summer,0.25,0.21,252.276,37657.69,0.5199455723203587,318.4073109700844
8000,30,summer,0.5,0.42,252.276,37657.69,0.5198764099846306,318.4073109700844
8000,30,summer,0.75,0.63,252.276,37657.69,0.5198072476489024,318.4073109700844
8000,30,summer,1.0,0.84,252.276,37657.69,0.5197380853131743,318.4073109700844
9000,30,summer,0.0,0.0,245.325,32844.240000000005,0.46639653943027454,313.9901083075707
9000,30,summer,0.25,0.14,245.325,32844.240000000005,0.4663562817111346,313.9901083075707
9000,30,summer,0.5,0.28,245.325,32844.240000000005,0.4663160239919946,313.9901083075707
9000,30,summer,0.75,0.42000000000000004,245.325,32844.240000000005,0.4662757662728547,313.9901083075707
9000,30,summer,1.0,0.56,245.325,32844.240000000005,0.46623550855371476,313.9901083075707
10000,30,summer,0.0,0.0,238.356,28534.620000000003,0.4170459563439815,309.49818547965674
10000,30,summer,0.25,0.0925,238.356,28534.620000000003,0.4170238578024207,309.49818547965674
10000,30,summer,0.5,0.185,238.356,28534.620000000003,0.41700175926085986,309.49818547965674
10000,30,summer,0.75,0.27749999999999997,238.356,28534.620000000003,0.41697966071929904,309.49818547965674
10000,30,summer,1.0,0.37,238.356,28534.620000000003,0.4169575621777383,309.49818547965674
0,45,winter,0.0,0.0,272.65,101800.0,1.3007091217617186,331.0151063471273
0,45,winter,0.25,0.7474999999999999,272.65,101800.0,1.3001207984404988,331.0151063471273
