h,latitude_deg,season,T,P,rho,a
66000,80,winter,233.419,5.2367490000000005,7.815628e-05,306.2761399289863
68000,80,winter,231.259,3.9235680000000004,5.910446e-05,304.8557455876467
70000,80,winter,229.101,2.932263,4.458764e-05,303.430026685231
72000,80,winter,226.944,2.1857830000000003,3.355266e-05,301.9982424531639
74000,80,winter,224.788,1.6250730000000002,2.518476e-05,300.5603062109167
76000,80,winter,222.634,1.2049779999999999,1.8855e-05,299.1168010038888
78000,80,winter,220.481,0.891054,1.4079e-05,297.6669707747233
80000,80,winter,218.329,0.6570902,1.04846e-05,296.21072264825256
0,80,summer,276.65,101200.0,1.274348,333.4343974907208
1000,80,summer,272.541,89335.62,1.141908,330.9489331334972
2000,80,summer,268.433,78716.07,1.021565,328.4452726537558
3000,80,summer,264.326,69226.45999999999,0.912369,325.9229967173228
4000,80,summer,260.204,60761.030000000006,0.8134851,323.3717277944997
5000,80,summer,253.792,53190.28,0.7301017,319.362579157922
6000,80,summer,247.393,46406.689999999995,0.6534791,315.3107419048707
7000,80,summer,240.99,40345.39,0.5832202,311.2035723734546
8000,80,summer,234.59,34945.42,0.5189427,307.0434310940392
9000,80,summer,228.255,30149.51,0.4601494,302.8692713383119
10000,80,summer,228.754,25964.850000000002,0.3954163,303.2001496483799
12000,80,summer,229.753,19278.829999999998,0.292319,303.86148665568
14000,80,summer,230.752,14335.640000000001,0.2164265,304.5213874236094
16000,80,summer,231.5,10674.67,0.1606357,305.0145526036422
18000,80,summer,231.998,7955.759,0.1194634,305.34244816533453
20000,80,summer,232.496,5934.204,0.08891688,305.66999199005454
22000,80,summer,232.994,4429.914,0.06623505,305.9971852073153
24000,80,summer,234.46,3310.5910000000003,0.04918973,306.958343968689
26000,80,summer,236.947,2481.345,0.03648166,308.58205726743086
28000,80,summer,239.432,1865.749,0.02714623,310.1959758836339
30000,80,summer,241.915,1407.258,0.0202651,311.8002519129835
32000,80,summer,244.397,1064.684,0.01517619,313.39567459906016
34000,80,summer,249.635,809.1034999999999,0.0112911,316.7362718682532
36000,80,summer,254.989,618.5713,0.008450952,320.1148237489167
38000,80,summer,260.34,475.63009999999997,0.006364525,323.45622459306605
40000,80,summer,265.688,367.7391,0.004821766,326.76161410055494
42000,80,summer,271.032,285.8277,0.003673853,330.03146543079794
44000,80,summer,276.373,223.2914,0.002814586,333.26742756621144
46000,80,summer,279.6,175.22709999999998,0.002183244,335.2074377456443
48000,80,summer,279.6,137.6464,0.001715006,335.2074377456443
50000,80,summer,279.6,108.1418,0.001347393,335.2074377456443
52000,80,summer,279.6,84.97426,0.001058738,335.2074377456443
54000,80,summer,275.775,66.71375,0.0008427486,332.9066798744056
56000,80,summer,269.37,52.11209,0.0006739484,329.0180135706858
58000,80,summer,262.97,40.47148,0.0005361442,325.08592460148134
60000,80,summer,256.573,31.241000000000003,0.0004241823,321.10756627117956
62000,80,summer,248.759,23.95291,0.000335442,316.1800501578175
64000,80,summer,239.716,18.19386,0.0002644025,310.3798893730069
66000,80,summer,230.679,13.676559999999998,0.0002065412,304.4732148840026
68000,80,summer,221.647,10.16615,0.0001597834,298.4530294826976
70000,80,summer,212.622,7.465534999999999,0.0001223184,292.3136947739534
72000,80,summer,203.601,5.410489999999999,9.257517e-05,286.04543169608564
74000,80,summer,195.113,3.865461,6.901661e-05,280.0194292983971
76000,80,summer,189.237,2.728861,5.023576e-05,275.77068006842205
78000,80,summer,183.365,1.905855,3.620852e-05,271.45839954401856
80000,80,summer,177.497,1.315907,2.582691e-05,267.07951040355005
